ds,language,topic,repo_count
2021-12-30,ada,ada,43
2021-12-30,ada,spark,6
2021-12-30,ada,linux,5
2021-12-30,ada,game,4
2021-12-30,ada,arm,3
2021-12-30,ada,osx,3
2021-12-30,ada,stm32,3
2021-12-30,ada,windows,3
2021-12-30,ada,ada95,2
2021-12-30,ada,computer-aided-design,2
2021-12-30,ada,concurrent-programming,2
2021-12-30,ada,embedded,2
2021-12-30,ada,embedded-systems,2
2021-12-30,ada,library,2
2021-12-30,ada,markdown,2
2021-12-30,ada,midi,2
2021-12-30,ada,postgresql,2
2021-12-30,ada,puzzle,2
2021-12-30,ada,real-time,2
2021-12-30,ada,rendezvous,2
2021-12-30,ada,security,2
2021-12-30,ada,sokoban,2
2021-12-30,ada,spark-ada,2
2021-12-30,ada,web,2
2021-12-30,agda,agda,15
2021-12-30,agda,type-theory,3
2021-12-30,agda,homotopy-type-theory,2
2021-12-30,agda,lambda-calculus,2
2021-12-30,agda,proof,2
2021-12-30,agda,proof-assistant,2
2021-12-30,coq,coq,77
2021-12-30,coq,formal-verification,14
2021-12-30,coq,mathcomp,14
2021-12-30,coq,ssreflect,13
2021-12-30,coq,coq-formalization,11
2021-12-30,coq,proof,7
2021-12-30,coq,coq-library,5
2021-12-30,coq,lambda-calculus,5
2021-12-30,coq,verification,5
2021-12-30,coq,coq-extraction,4
2021-12-30,coq,distributed-systems,4
2021-12-30,coq,docker-coq-action,4
2021-12-30,coq,formalization,4
2021-12-30,coq,functional-programming,4
2021-12-30,coq,mathematics,4
2021-12-30,coq,ocaml,4
2021-12-30,coq,proof-assistant,4
2021-12-30,coq,separation-logic,4
2021-12-30,coq,verilog,4
2021-12-30,coq,category-theory,3
2021-12-30,coq,formal-proofs,3
2021-12-30,coq,math,3
2021-12-30,coq,math-comp,3
2021-12-30,coq,monad,3
2021-12-30,coq,paper-artifacts,3
2021-12-30,coq,sorting-algorithms,3
2021-12-30,coq,theorem-proving,3
2021-12-30,coq,type-theory,3
2021-12-30,coq,algorithms,2
2021-12-30,coq,c,2
2021-12-30,coq,categories,2
2021-12-30,coq,coinduction,2
2021-12-30,coq,compcert,2
2021-12-30,coq,concurrency,2
2021-12-30,coq,coq-tactic,2
2021-12-30,coq,deadlock-detection,2
2021-12-30,coq,dependent-types,2
2021-12-30,coq,finite-sets,2
2021-12-30,coq,formal-methods,2
2021-12-30,coq,fpga,2
2021-12-30,coq,functor,2
2021-12-30,coq,hardware,2
2021-12-30,coq,hardware-verification,2
2021-12-30,coq,javascript,2
2021-12-30,coq,logic,2
2021-12-30,coq,nix-action,2
2021-12-30,coq,proofs,2
2021-12-30,coq,rtl,2
2021-12-30,coq,semantics,2
2021-12-30,coq,simply-typed-lambda-calculus,2
2021-12-30,coq,simulation,2
2021-12-30,coq,topology,2
2021-12-30,coq,typeclasses,2
2021-12-30,idris,idris,10
2021-12-30,idris,coproduct,2
2021-12-30,isabelle,isabelle,7
2021-12-30,isabelle,isabelle-hol,7
2021-12-30,isabelle,verification,3
2021-12-30,isabelle,formal-verification,2
2021-12-30,isabelle,protocol-verification,2
2021-12-30,isabelle,security-protocols,2
2021-12-30,lean,lean,5
2021-12-30,lean,lean4,3
2021-12-30,lean,theorem-proving,2
2021-12-30,tla,tlaplus,15
2021-12-30,tla,tla,11
2021-12-30,tla,pluscal,7
2021-12-30,tla,tla-specification,4
2021-12-30,tla,distributed-systems,3
2021-12-30,tla,formal-verification,3
2021-12-30,tla,model-checking,3
2021-12-30,tla,consensus-protocol,2
2021-12-30,tla,distributed,2
2021-12-30,tla,formal-specification,2
2021-12-30,tla,temporal-logic,2
2021-12-30,tla,tlaplus-lamport,2
